"","zSensr","defl"
"94",4.72306460608252e-09,4.94583218824118e-09
"95",4.72283723240707e-09,4.8764787763389e-09
"96",4.72266670215049e-09,4.88069318294038e-09
"97",4.72243932847505e-09,4.91431606519654e-09
"98",4.72226879821847e-09,4.88696816347556e-09
"99",4.72209826796188e-09,4.87432494367113e-09
"100",4.72198458112416e-09,4.89787943536157e-09
"101",4.72181405086758e-09,4.95636864883409e-09
"102",4.72170036402986e-09,4.96404872762923e-09
"103",4.72152983377327e-09,4.94714313958866e-09
"104",4.72141614693555e-09,4.9970627635787e-09
"105",4.72130246009783e-09,5.02267827329206e-09
"106",4.72124561667897e-09,5.0301238729844e-09
"107",4.72113192984125e-09,5.06969399793888e-09
"108",4.72107508642239e-09,5.07226971535601e-09
"109",4.72096139958467e-09,5.11169950812018e-09
"110",4.72090455616581e-09,5.1128230538211e-09
"111",4.72084771274695e-09,5.09160980044499e-09
"112",4.72079086932808e-09,5.09390440939228e-09
"113",4.72079086932808e-09,5.06477704220742e-09
"114",4.72073402590922e-09,5.0692259279117e-09
"115",4.72067718249036e-09,5.02693930926057e-09
"116",4.72067718249036e-09,4.98961671979714e-09
"117",4.7206203390715e-09,4.97594321302586e-09
"118",4.72056349565264e-09,4.91539342561964e-09
"119",4.72056349565264e-09,4.91305218730531e-09
"120",4.72050665223378e-09,4.99055374802992e-09
"121",4.72050665223378e-09,4.95365259922664e-09
"122",4.72044980881492e-09,4.95224750096668e-09
"123",4.72044980881492e-09,4.96713914444058e-09
"124",4.72039296539606e-09,4.9860577888694e-09
"125",4.7203361219772e-09,5.05971975428565e-09
"126",4.7203361219772e-09,5.01794827911795e-09
"127",4.72027927855834e-09,5.01059638224888e-09
"128",4.72022243513948e-09,5.01190733359635e-09
"129",4.72016559172062e-09,5.01630914584439e-09
"130",4.72016559172062e-09,5.00254149216062e-09
"131",4.72010874830175e-09,5.00001284819973e-09
"132",4.72005190488289e-09,4.99420593769173e-09
"133",4.71999506146403e-09,4.93515539545797e-09
"134",4.71993821804517e-09,4.93965046644007e-09
"135",4.71982453120745e-09,4.98292029860181e-09
"136",4.71976768778859e-09,5.00549202087086e-09
"137",4.71971084436973e-09,4.98853980346325e-09
"138",4.71959715753201e-09,4.99710939294573e-09
"139",4.71954031411315e-09,5.02267827329206e-09
"140",4.71942662727542e-09,4.97641128305304e-09
"141",4.71936978385656e-09,4.99940400189303e-09
"142",4.71925609701884e-09,5.0385997596436e-09
"143",4.71914241018112e-09,4.96535967897671e-09
"144",4.71908556676226e-09,4.97125984821878e-09
"145",4.71897187992454e-09,4.99036634238337e-09
"146",4.71885819308682e-09,4.98793095715655e-09
"147",4.71868766283023e-09,4.99261387787442e-09
"148",4.71857397599251e-09,4.977816381313e-09
"149",4.71846028915479e-09,5.00483654519712e-09
"150",4.71834660231707e-09,5.01270314146041e-09
"151",4.71817607206049e-09,5.00951902182578e-09
