"","zSensr","defl"
"52",-4.62821354574317e-08,-1.37657885090903e-10
"53",-4.62817943969185e-08,-1.97832861204006e-10
"54",-4.62815101798242e-08,-3.09352543581554e-11
"55",-4.62812259627299e-08,1.28984822822531e-10
"56",-4.62808849022167e-08,2.1828716612049e-10
"57",-4.62806006851224e-08,3.33137961661123e-11
"58",-4.62803164680281e-08,-1.48568712887709e-10
"59",-4.62800322509338e-08,-1.58449697806873e-10
"60",-4.62796911904206e-08,-1.41919365148624e-10
"61",-4.62794069733263e-08,-1.69876113176315e-10
"62",-4.6279122756232e-08,-3.23895577025723e-10
"63",-4.62788385391377e-08,-3.57331497724545e-10
"64",-4.62785543220434e-08,-1.95725213814057e-10
"65",-4.62782701049491e-08,-3.02797786844167e-11
"66",-4.62779858878548e-08,-4.10249612059488e-12
"67",-4.62777016707605e-08,-5.91731108556814e-11
"68",-4.62774174536662e-08,-1.43698830612493e-10
"69",-4.62771900799908e-08,-2.61613397611882e-10
"70",-4.62769058628965e-08,-3.66837671350595e-10
"71",-4.62766216458022e-08,-2.32298624780469e-10
"72",-4.62763942721267e-08,1.55443213856188e-10
"73",-4.62761100550324e-08,4.24239754437394e-10
"74",-4.6275882681357e-08,2.21518359211359e-10
"75",-4.62755984642627e-08,-8.23532353422252e-11
"76",-4.62753710905872e-08,-4.96198637733869e-11
"77",-4.62750868734929e-08,3.15343307022431e-11
"78",-4.62748594998175e-08,3.76219055908678e-11
"79",-4.6274632126142e-08,9.70477032069539e-11
"80",-4.62743479090477e-08,1.62561075711665e-10
"81",-4.62741205353723e-08,1.51509471635336e-10
"82",-4.62738931616968e-08,1.74829928312192e-10
"83",-4.62736657880214e-08,1.29874333509861e-10
"84",-4.62733815709271e-08,3.69664299171291e-11
"85",-4.62731541972516e-08,2.19344542529143e-11
"86",-4.62729268235762e-08,1.17184040249185e-10
"87",-4.62726994499008e-08,1.44110501310024e-10
"88",-4.62724152328065e-08,-2.42854625298605e-11
"89",-4.6272187859131e-08,-7.03650471223227e-11
"90",-4.62719604854556e-08,-8.34772251323557e-11
"91",-4.62716762683613e-08,-2.86292323181669e-10
"92",-4.62714488946858e-08,-2.90460100416112e-10
"93",-4.62711646775915e-08,-9.33577659623097e-11
"94",-4.62709373039161e-08,-1.21548549003592e-10
"95",-4.62706530868218e-08,-1.81536119470138e-10
"96",-4.62704257131463e-08,-2.73882694301619e-10
"97",-4.6270141496052e-08,-3.01792368873066e-10
"98",-4.62698572789577e-08,-2.60864219114865e-10
"99",-4.62696299052823e-08,-3.86926934936582e-10
"100",-4.6269345688188e-08,-3.11485948145673e-10
"101",-4.62690614710937e-08,-7.67803598478167e-11
